Index,What degree did you receive at GSAPP?,In what year did you graduate from GSAPP?,How many years of professional experience did you have before attending GSAPP?,Did you do any summer internships while you attended GSAPP?,How long after graduating from GSAPP did you start working?
301,MS.AUD,2010,Between 1 and 3,None,Between 1 and 3 months
302,MS.AAD,2010,Between 1 and 3,None,Less than 1 month
303,MS.AAD,2009,Between 1 and 3,None,Between 1 and 3 months
304,MS.AAD,2012,None,None,Less than 1 month
305,MS.RED,2011,Between 1 and 3,None,Less than 1 month
306,MS.UP,2012,Between 1 and 3,2,Less than 1 month
307,MS.HP,2012,Less than 1,1,Between 6 months and 1 year
308,MS.UP,2010,None,More than 2,Less than 1 month
309,MS.AAD,2010,None,More than 2,Between 6 months and 1 year
310,M.Arch,2010,Between 1 and 3,1,Between 3 and 6 months
311,M.Arch,2013,More than 3,None,Between 3 and 6 months
312,MS.UP,2010,None,2,Between 1 and 3 months
313,MS.AAD,2013,Less than 1,None,Between 6 months and 1 year
314,Other,2010,None,None,Between 6 months and 1 year
315,MS.AUD,2012,Less than 1,None,Less than 1 month
316,MS.AAD,2012,Between 1 and 3,None,Between 6 months and 1 year
317,MS.RED,2012,More than 3,1,Less than 1 month
318,M.Arch,2012,Less than 1,2,Less than 1 month
319,M.Arch,2010,Between 1 and 3,None,Less than 1 month
320,MS.AAD,2013,Less than 1,None,Between 6 months and 1 year
321,M.Arch,2012,None,None,Between 3 and 6 months
322,M.Arch,2011,Less than 1,2,Between 3 and 6 months
323,MS.AAD,2009,More than 3,None,Between 6 months and 1 year
324,MS.AAD,2011,Between 1 and 3,None,Between 1 and 3 months
325,M.Arch,2011,Between 1 and 3,2,Between 1 and 3 months
326,MS.AAD,2013,None,None,Between 1 and 3 months
327,M.Arch,2012,Less than 1,2,Between 1 and 3 months
328,M.Arch,2013,Between 1 and 3,1,Less than 1 month
329,MS.AAD,2013,Between 1 and 3,None,Between 1 and 3 months
330,MS.AAD,2012,Less than 1,None,Between 1 and 3 months
331,MS.AAD,2009,More than 3,None,Between 6 months and 1 year
332,MS.AUD,2011,Between 1 and 3,None,Between 6 months and 1 year
333,M.Arch,2013,None,2,Between 1 and 3 months
334,MS.UP,2013,Between 1 and 3,1,Less than 1 month
335,MS.AUD,2013,Less than 1,None,Between 3 and 6 months
336,MS.RED,2010,More than 3,1,Less than 1 month
337,MS.AAD,2010,Between 1 and 3,None,Between 1 and 3 months
338,MS.AAD,2013,None,None,Less than 1 month
339,M.Arch,2011,None,1,Between 1 and 3 months
340,MS.AAD,2011,More than 3,None,Between 6 months and 1 year
341,MS.AUD,2010,Between 1 and 3,None,Between 1 and 3 months
342,MS.UP,2009,Between 1 and 3,None,Between 1 and 3 months
343,MS.RED,2011,Between 1 and 3,None,Between 6 months and 1 year
344,MS.RED,2011,More than 3,1,Less than 1 month
345,MS.AUD,2013,Between 1 and 3,None,Less than 1 month
346,MS.AUD,2012,More than 3,None,More than 1 year
347,MS.RED,2011,None,1,Less than 1 month
348,MS.AAD,2013,None,None,Between 1 and 3 months
349,M.Arch,2009,Between 1 and 3,2,Between 1 and 3 months
350,MS.RED,2011,Between 1 and 3,1,Less than 1 month
351,MS.AAD,2011,Between 1 and 3,None,Less than 1 month
352,M.Arch,2010,None,None,Between 6 months and 1 year
353,MS.AAD,2009,Between 1 and 3,None,Less than 1 month
354,MS.UP,2012,Between 1 and 3,1,Between 3 and 6 months
355,MS.RED,2013,Between 1 and 3,None,Less than 1 month
356,M.Arch,2013,Between 1 and 3,1,Between 1 and 3 months
357,MS.HP,2012,More than 3,2,Between 6 months and 1 year
358,M.Arch,2011,Between 1 and 3,1,Less than 1 month
359,MS.HP,2013,Less than 1,1,Less than 1 month
360,M.Arch,2012,Less than 1,More than 2,Between 6 months and 1 year
361,M.Arch,2012,Between 1 and 3,None,Between 3 and 6 months
362,M.Arch,2010,More than 3,2,Between 3 and 6 months
363,MS.AAD,2013,Less than 1,None,Between 3 and 6 months
364,MS.AAD,2012,None,None,Between 3 and 6 months
365,MS.UP,2013,None,1,Less than 1 month
366,MS.RED,2012,Between 1 and 3,None,Between 1 and 3 months
367,MS.AAD,2013,Less than 1,1,Less than 1 month
368,MS.RED,2009,More than 3,None,Between 1 and 3 months
369,MS.UP,2012,Between 1 and 3,2,Between 1 and 3 months
370,MS.AUD,2009,Less than 1,None,Between 1 and 3 months
371,MS.UP,2009,Between 1 and 3,1,Between 6 months and 1 year
372,M.Arch,2009,More than 3,2,Between 6 months and 1 year
373,MS.RED,2009,More than 3,None,Less than 1 month
374,MS.RED,2009,Between 1 and 3,1,Less than 1 month
375,MS.RED,2009,More than 3,None,Between 6 months and 1 year
376,MS.RED,2011,Between 1 and 3,2,Between 1 and 3 months
377,MS.RED,2009,More than 3,None,Between 6 months and 1 year
378,MS.RED,2009,More than 3,None,Between 1 and 3 months
379,MS.RED,2011,More than 3,None,Between 6 months and 1 year
380,MS.AUD,2013,More than 3,None,Between 3 and 6 months
381,MS.RED,2009,More than 3,None,Less than 1 month
382,MS.AUD,2009,More than 3,None,Less than 1 month
383,MS.AUD,2011,Between 1 and 3,None,Between 1 and 3 months
384,M.Arch,2013,More than 3,2,Less than 1 month
385,MS.UP,2011,More than 3,2,Less than 1 month
386,MS.HP,2010,Between 1 and 3,More than 2,Between 1 and 3 months
387,Other,2011,Between 1 and 3,More than 2,Between 3 and 6 months
388,MS.UP,2013,Between 1 and 3,1,More than 1 year
389,MS.UP,2012,None,1,Between 6 months and 1 year
390,MS.UP,2012,Less than 1,1,Between 3 and 6 months
391,Other,2011,More than 3,1,Between 6 months and 1 year
392,MS.UP,2012,Between 1 and 3,1,Less than 1 month
393,MS.UP,2013,Less than 1,1,Less than 1 month
394,MS.UP,2012,Less than 1,None,Between 3 and 6 months
395,MS.UP,2012,Less than 1,1,Between 1 and 3 months
396,M.Arch,2011,Between 1 and 3,None,Less than 1 month
397,Other,2013,Between 1 and 3,None,Between 1 and 3 months
398,MS.UP,2012,Between 1 and 3,2,Between 6 months and 1 year
399,MS.UP,2013,More than 3,None,More than 1 year
400,MS.UP,2012,None,1,Less than 1 month
401,Other,2013,Less than 1,1,Between 1 and 3 months
402,MS.UP,2010,Less than 1,1,Between 1 and 3 months
